Variable,Coeficiente
age,0.49468900746716005
sysBP,0.23362051928378488
male,0.20660763878123012
cigsPerDay,0.2049224840576975
prevalentHyp,0.11859910023206587
glucose,0.10548889809816056
totChol,0.08294174126610715
prevalentStroke,0.06226656010288867
diabetes,0.058488644569254636
BPMeds,0.05435573315757932
currentSmoker,0.048847373681087214
BMI,0.02251863989603725
diaBP,0.01532708701770959
heartRate,-0.01739507115678344
education,-0.036272378888582715
