Variable,Coeficiente
age,0.5091323826601641
cigsPerDay,0.234307718133892
sysBP,0.23233464091277747
male,0.18102936441163453
glucose,0.11407118454385899
totChol,0.09608522630432773
prevalentHyp,0.0944732093531037
BPMeds,0.07745167947181864
prevalentStroke,0.07150767186665899
diabetes,0.05371087062490319
diaBP,0.031546702351759486
education,-0.031196362809156133
currentSmoker,0.02906575024561979
BMI,0.01954607631650571
heartRate,-0.0155771835186767
